Distance,lat,lon,Elevation,depth
3467,39.81112636,-118.9983974,1254.672,-1.254672
3478,39.81106885,-118.9982893,1254.978909,-1.254978909
3489,39.81101135,-118.9981812,1255.06,-1.25506
3500,39.81095385,-118.9980731,1254.999818,-1.254999818
3511,39.81089635,-118.997965,1255.434273,-1.255434273
3522,39.81083884,-118.9978569,1256.138727,-1.256138727
3533,39.81078134,-118.9977488,1256.598,-1.256598
3544,39.81072628,-118.997648,1256.545818,-1.256545818
3555,39.81072537,-118.9977091,1257.221818,-1.257221818
3566,39.81074656,-118.9978364,1257.871273,-1.257871273
3577,39.81076776,-118.9979637,1257.400182,-1.257400182
3588,39.81078895,-118.998091,1257.546091,-1.257546091
3599,39.81081016,-118.9982182,1257.416818,-1.257416818
3610,39.81083135,-118.9983455,1257.044091,-1.257044091
3621,39.81085255,-118.9984728,1256.969273,-1.256969273
3632,39.81087374,-118.9986001,1255.487364,-1.255487364
3643,39.81089495,-118.9987273,1254.226364,-1.254226364
3654,39.81091614,-118.9988546,1253.978818,-1.253978818
3665,39.81093733,-118.9989819,1253.788545,-1.253788545
3676,39.81095852,-118.9991092,1253.561091,-1.253561091
3687,39.81097973,-118.9992364,1253.266636,-1.253266636
3698,39.81100093,-118.9993637,1253.077818,-1.253077818
3709,39.81102146,-118.9994898,1253.990455,-1.253990455
3720,39.81097816,-118.9994974,1254.384091,-1.254384091
3731,39.81089318,-118.9994277,1253.098636,-1.253098636
3742,39.81080816,-118.999358,1252.807364,-1.252807364
3753,39.81072315,-118.9992883,1252.726455,-1.252726455
3764,39.81063817,-118.9992185,1252.762909,-1.252762909
3775,39.81055321,-118.9991488,1253.105636,-1.253105636
3786,39.81046819,-118.9990791,1253.418818,-1.253418818
3797,39.81038318,-118.9990094,1253.486636,-1.253486636
3808,39.81029818,-118.9989396,1253.339818,-1.253339818
3819,39.81021323,-118.99887,1253.448545,-1.253448545
3830,39.81012822,-118.9988002,1253.608364,-1.253608364
3841,39.8100432,-118.9987305,1253.613727,-1.253613727
3852,39.80995819,-118.9986608,1253.599636,-1.253599636
3863,39.80987326,-118.9985911,1253.724182,-1.253724182
3874,39.80978844,-118.9985218,1254.795091,-1.254795091
3885,39.80975826,-118.9985652,1254.591909,-1.254591909
3896,39.80977011,-118.9986953,1253.178455,-1.253178455
3907,39.80978194,-118.9988254,1252.647091,-1.252647091
3918,39.8097938,-118.9989555,1252.449545,-1.252449545
3929,39.80980564,-118.9990856,1252.316818,-1.252316818
3940,39.80981748,-118.9992157,1252.170909,-1.252170909
3951,39.80982934,-118.9993458,1252.093636,-1.252093636
3962,39.80984117,-118.9994759,1251.995545,-1.251995545
3973,39.80985303,-118.999606,1251.776182,-1.251776182
3984,39.80986487,-118.9997361,1251.506273,-1.251506273
3995,39.80987671,-118.9998663,1251.861455,-1.251861455
4006,39.80988857,-118.9999964,1252.533727,-1.252533727
4017,39.8098937,-119.0001139,1252.976455,-1.252976455
4028,39.80982481,-119.0000938,1252.916545,-1.252916545
4039,39.80973541,-119.0000354,1252.943909,-1.252943909
4050,39.80964601,-118.9999771,1252.946091,-1.252946091
4061,39.80955661,-118.9999188,1252.959545,-1.252959545
4072,39.80946722,-118.9998604,1252.934909,-1.252934909
4083,39.8093778,-118.9998021,1253.100545,-1.253100545
4094,39.80928841,-118.9997437,1253.602182,-1.253602182
4105,39.80919901,-118.9996854,1253.918818,-1.253918818
4116,39.80910962,-118.9996271,1253.965273,-1.253965273
4127,39.80902021,-118.9995687,1253.537818,-1.253537818
4138,39.80893082,-118.9995104,1253.202909,-1.253202909
4149,39.80884141,-118.999452,1253.299,-1.253299
4160,39.80879172,-118.9994757,1253.111545,-1.253111545
4171,39.80879368,-118.999606,1252.865273,-1.252865273
4182,39.80879581,-118.9997366,1252.636727,-1.252636727
4193,39.80879795,-118.9998673,1252.414909,-1.252414909
4204,39.80880008,-118.999998,1252.403545,-1.252403545
4215,39.80880222,-119.0001287,1252.363182,-1.252363182
4226,39.80880436,-119.0002594,1252.108455,-1.252108455
4237,39.80880648,-119.00039,1251.713364,-1.251713364
4248,39.80880863,-119.0005207,1251.526,-1.251526
4259,39.80881076,-119.0006514,1251.443545,-1.251443545
4270,39.80881289,-119.0007821,1251.385818,-1.251385818
4281,39.80876121,-119.00082,1251.234273,-1.251234273
4292,39.80866466,-119.0007805,1251.036636,-1.251036636
4303,39.80856813,-119.0007411,1251.234545,-1.251234545
4314,39.80847157,-119.0007016,1251.420091,-1.251420091
4325,39.80837503,-119.0006622,1251.362545,-1.251362545
4336,39.80827849,-119.0006227,1251.36,-1.25136
4347,39.80818195,-119.0005833,1251.410091,-1.251410091
4358,39.80808541,-119.0005438,1251.667182,-1.251667182
4369,39.80798886,-119.0005044,1251.748,-1.251748
4380,39.80789232,-119.0004649,1251.724,-1.251724
4391,39.80780331,-119.0004395,1251.711727,-1.251711727
4402,39.80778219,-119.0005401,1251.521,-1.251521
4413,39.80777691,-119.0006701,1251.330727,-1.251330727
4424,39.80777164,-119.0008002,1251.207727,-1.251207727
4435,39.80776634,-119.0009302,1251.027818,-1.251027818
4446,39.80776105,-119.0010602,1250.796091,-1.250796091
4457,39.80775576,-119.0011903,1250.591909,-1.250591909
4468,39.80775048,-119.0013203,1250.421182,-1.250421182
4479,39.8077452,-119.0014503,1250.230182,-1.250230182
4490,39.80772608,-119.0015566,1250.128,-1.250128
4501,39.80763748,-119.0015434,1250.173455,-1.250173455
4512,39.80753926,-119.0015136,1250.316455,-1.250316455
4523,39.80744105,-119.0014838,1250.670545,-1.250670545
4534,39.80734284,-119.0014541,1250.970273,-1.250970273
4545,39.80724463,-119.0014243,1251.047727,-1.251047727
4556,39.80714642,-119.0013946,1250.924727,-1.250924727
4567,39.80704821,-119.0013648,1250.903455,-1.250903455
4578,39.80694999,-119.0013351,1250.968091,-1.250968091
4589,39.80685672,-119.0013187,1251.022636,-1.251022636
4600,39.80680312,-119.0014103,1251.014,-1.251014
4611,39.80675809,-119.001525,1250.934,-1.250934
4622,39.80671305,-119.0016398,1250.864909,-1.250864909
4633,39.80666802,-119.0017546,1250.852727,-1.250852727
4644,39.80662299,-119.0018694,1251.037455,-1.251037455
4655,39.80657794,-119.0019842,1251.098182,-1.251098182
4666,39.8065265,-119.0020685,1251.019727,-1.251019727
4677,39.80644543,-119.0020118,1250.958273,-1.250958273
4688,39.80636066,-119.0019377,1250.776091,-1.250776091
4699,39.80627591,-119.0018638,1250.57,-1.25057
4710,39.80619922,-119.0018764,1249.218455,-1.249218455
4721,39.80612872,-119.0019554,1247.816455,-1.247816455
4732,39.80605822,-119.0020343,1246.821818,-1.246821818
4743,39.80598772,-119.0021133,1247.489182,-1.247489182
4754,39.80591723,-119.0021923,1249.076273,-1.249076273
4765,39.8058542,-119.0022824,1249.479364,-1.249479364
4776,39.80580464,-119.0023925,1249.282455,-1.249282455
4787,39.80575532,-119.002503,1249.296636,-1.249296636
4798,39.805706,-119.0026134,1249.005455,-1.249005455
4809,39.80565668,-119.0027239,1248.589,-1.248589
4820,39.80560737,-119.0028343,1247.985273,-1.247985273
4831,39.80555806,-119.0029448,1246.959545,-1.246959545
4842,39.80549925,-119.0030432,1246.215455,-1.246215455
4853,39.80541103,-119.0031043,1245.545273,-1.245545273
4864,39.80532076,-119.0031628,1246.054727,-1.246054727
4875,39.80523051,-119.0032213,1246.468545,-1.246468545
4886,39.80514026,-119.0032797,1245.942727,-1.245942727
4897,39.80504998,-119.0033382,1246.422,-1.246422
4908,39.80495974,-119.0033967,1246.329636,-1.246329636
4919,39.80486948,-119.0034552,1246.143455,-1.246143455
4930,39.80477921,-119.0035137,1245.983182,-1.245983182
4941,39.80468897,-119.0035722,1245.723091,-1.245723091
4952,39.8045987,-119.0036307,1245.430909,-1.245430909
4963,39.80450858,-119.0036892,1245.095091,-1.245095091
4974,39.80442001,-119.0037491,1244.860091,-1.244860091
4985,39.80433545,-119.0038129,1244.668455,-1.244668455
4996,39.80429623,-119.0039238,1243.991636,-1.243991636
5007,39.80427059,-119.0040486,1243.305909,-1.243305909
5018,39.80424494,-119.0041735,1243.01,-1.24301
5029,39.80420517,-119.0042838,1243.158545,-1.243158545
5040,39.80411818,-119.0043456,1243.222727,-1.243222727
5051,39.80402743,-119.0044036,1243.179455,-1.243179455
5062,39.80393669,-119.0044615,1243.108545,-1.243108545
5073,39.80384594,-119.0045195,1242.972818,-1.242972818
5084,39.8037552,-119.0045775,1242.948091,-1.242948091
5095,39.80366444,-119.0046354,1242.834909,-1.242834909
5106,39.80357369,-119.0046934,1242.568455,-1.242568455
5117,39.80348294,-119.0047513,1242.651455,-1.242651455
5128,39.80339219,-119.0048092,1242.799182,-1.242799182
5139,39.80330145,-119.0048672,1242.689545,-1.242689545
5150,39.8032107,-119.0049251,1242.481273,-1.242481273
5161,39.80311996,-119.0049831,1242.285909,-1.242285909
5172,39.8030292,-119.005041,1242.130182,-1.242130182
5183,39.80293845,-119.005099,1241.994727,-1.241994727
5194,39.80284882,-119.0051515,1241.740727,-1.241740727
5205,39.80277532,-119.0051263,1241.343,-1.241343
5216,39.802707,-119.0050759,1241.416818,-1.241416818
5227,39.80263868,-119.0050255,1241.590636,-1.241590636
5238,39.80257036,-119.0049752,1241.815273,-1.241815273
5249,39.80249209,-119.0049701,1241.945455,-1.241945455
5260,39.80240086,-119.0050239,1241.932545,-1.241932545
5271,39.80230957,-119.005078,1241.807545,-1.241807545
5282,39.8022183,-119.005132,1241.695,-1.241695
